action_ff_hot_hand,"Hot Hand",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_hot_hand,"Increases a projectile's damage if you have heat stored",,,,,,,,,,,,,,,,,,,,,,
action_ff_willow_wisp,"Friendly Flame",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_willow_wisp,"A will-o'-the-wisp that passively warms you",,,,,,,,,,,,,,,,,,,,,,
action_ff_thermodynamics,"Thermodynamics",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_thermodynamics,"Uses heat to inflicts nearby enemies with magic fire [1,4s,5]",,,,,,,,,,,,,,,,,,,,,,
action_ff_magic_fire,"Inflict Magic Fire",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_magic_fire,"Makes a projectile inflict hit enemies with magic fire [2,6s,7]",,,,,,,,,,,,,,,,,,,,,,
action_ff_engine,"Heat Engine",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_engine,"Uses 1.2 heat to add mana to the wand and make it cast faster",,,,,,,,,,,,,,,,,,,,,,
action_ff_radiator,"Radiator",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_radiator,"Uses mana to generate 20 heat",,,,,,,,,,,,,,,,,,,,,,
action_ff_needle,"Hot Needle",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_needle,"Uses 1.5 heat to cast an erratic, fast-moving projectile with properties [1,6s,7]",,,,,,,,,,,,,,,,,,,,,,
action_ff_sparkle,"Magic Sparkle",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_sparkle,"A weak, erratic projectile that pierces enemies and inflicts magic fire [1,6s,4]",,,,,,,,,,,,,,,,,,,,,,
action_ff_phoenix_field,"Phoenix Field",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_phoenix_field,"Uses 10 + 9% of your heat to create a field that provides healing based on how much heat was used",,,,,,,,,,,,,,,,,,,,,,
action_ff_hotter_flares,"Hotter Magic Fire",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_hotter_flares,"+1 magic fire temperature (up to 11)",,,,,,,,,,,,,,,,,,,,,,
action_ff_fire_duration,"Magic Fire Duration",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_fire_duration,"Adds 3 seconds to the duration of magic fire inflicted",,,,,,,,,,,,,,,,,,,,,,
action_ff_bleeding_heat,"Bleeding Heat",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_bleeding_heat,"Generates 38 heat at the cost of 7 health points",,,,,,,,,,,,,,,,,,,,,,
action_ff_burning_up,"Burning Up!",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_burning_up,"Makes a projectile grant heat when it expires based on its velocity at that moment",,,,,,,,,,,,,,,,,,,,,,
action_ff_beam,"Elastic Fire",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_beam,"Uses 2.5 heat to cast a fast, bouncing projectile that inflicts magic fire [6,6s,6]",,,,,,,,,,,,,,,,,,,,,,
action_ff_holy_flames,"Holy Flames",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_holy_flames,"Magic fire you inflict will deal 4 holy damage per temperature per second, stacking up to 20x",,,,,,,,,,,,,,,,,,,,,,
action_ffireball,"FFIREBALL",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ffireball,"FFIREBALL [10,10s,10]",,,,,,,,,,,,,,,,,,,,,,
action_ff_damage_forge,"Damage Forge",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_damage_forge,"Uses 4 heat to increase a projectile's damage based on how much heat is stored",,,,,,,,,,,,,,,,,,,,,,
action_ff_flash_flare,"Flash Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_flash_flare,"A projectile that inflicts magic fire [2,6s,8] but only harms afflicted enemies, dealing holy damage scaled from its original damage",,,,,,,,,,,,,,,,,,,,,,
action_ff_contagion_flare,"Contagion Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_contagion_flare,"A projectile that spreads magic fire from hit enemies to those nearby and inflicts magic fire [1,5s,8]",,,,,,,,,,,,,,,,,,,,,,
action_ff_remember,"Remember Spells",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_remember,"The subsequent spells will be remembered, up until a utility or multicast spell is encountered",,,,,,,,,,,,,,,,,,,,,,
action_ff_recall,"Recall",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_recall,"Remembered spells will be recalled and casted",,,,,,,,,,,,,,,,,,,,,,
action_ff_remember_one,"Remember One",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_remember_one,"The next spell will be remembered without forgetting what is already remembered",,,,,,,,,,,,,,,,,,,,,,
action_ff_forget,"Forget",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_forget,"Remembered spells will be forgotten",,,,,,,,,,,,,,,,,,,,,,
